FloatNumbers,Integers,SomeStrings,Time
1963.9695319532532,843904,gbrsDbZjjn,2005-01-11
52607.51326574543,941076,XdXlQxlEbi,1994-12-10
88004.98354772943,649651,YeBLjocGjg,2013-05-28
128966.74016443512,73172,jQJlGwdJSi,1996-11-30
55115.69319709109,878231,XHLkMESXGQ,2018-12-11
151693.96664314435,675015,lFWGznPyyJ,2013-02-13
78130.12114395534,473640,gfCCJfhKHf,1999-08-10
26975.30005166555,891824,MvQOxltuZG,1994-12-20
78531.26416199708,294927,epTjgzIUwe,2001-12-20
25918.911576245933,320377,DQbhnbjhRl,2015-10-27
531063.7672966443,226227,pMTLfkpjBd,2009-09-28
681940.6676547443,732593,PBJMYZKvtd,2000-09-26
547236.3718281435,120403,YsDhMrkgMG,2001-12-30
459647.217018255,328559,rMAgzcuiPO,2003-05-18
148201.6582600773,17888,ZlTwMORNrj,2008-12-14
176889.36060704745,101966,TqlsYyvmDP,2014-09-23
48589.38023718938,482474,gxzvvkpSSZ,2015-12-20
219309.20870234148,279987,InRKYovyuv,2003-08-01
65754.69409955884,631006,MSFfcZJvJv,1995-03-29
407409.8877531494,816355,hGYDqIAZAX,2008-04-28
208544.33211740525,956405,vtMLkdyCcg,2004-07-25
296699.9921407427,377522,IWDMkdHZzN,2003-03-20
403071.0939578786,496650,jEeksWfQQp,2011-06-23
485448.1873942948,954417,MTsgIWEsaQ,2008-01-14
64299.879695500924,55010,tybkbFFjVO,2005-04-16
274222.7801052191,437083,IRlhYndcRj,1999-04-22
321784.32591345307,277693,dlVCovUzoL,2005-02-08
147726.89139445443,375418,PaVpFxgSea,2020-06-04
218954.7699652784,788986,sKyEcRbvQY,2005-11-27
771360.5508094935,840583,cfMimOahGi,2016-06-29
174782.25959601783,797257,fcmRJUeFix,2001-04-25
46568.12601694613,393917,rsBJxXCFdd,2009-03-09
277026.6920734715,883505,kSKyHicUlr,2017-03-26
20390.6410623331,655614,GsxrHGCPCp,1997-01-15
41613.04481612847,848067,nAxxrIcZIF,2004-10-30
250924.97217725404,122344,IxYlHBFhdB,2006-09-29
420608.0408067261,428868,QwsLXjyHYf,1996-06-28
55318.357731848104,539300,VEQkCKjRLm,2018-08-31
60457.089657893215,314073,cwKEfSYCYC,2015-09-22
121964.75004204077,163035,KDyjiBJkYG,2006-10-30
129807.31238158258,260561,azjJOGGUkN,1995-02-19
296165.8625474191,678239,gFlsYbIalJ,1997-03-16
383621.42908465257,937366,ClPMcDbPuM,1998-07-22
461490.1878224636,279287,yrozMSWiCp,2010-07-19
7652.798691463306,631285,nQZJkfbzLJ,2004-11-07
36044.075319861826,530608,UOuOMbszrT,2000-08-22
659195.4777801591,414430,QGoacnBIgw,2012-01-02
181536.449939689,102475,tynwqBInRX,1999-12-09
646542.2655805709,620916,wGkJYWFyWV,2017-04-19
101985.46402172369,726974,rGrYajktky,1995-01-29
839037.7261565892,801932,GLjGCMAKHt,2015-10-06
476356.5764453799,916892,jJoPzBXIPb,2018-03-25
75060.7016840334,169790,YKztVxPefD,2016-02-08
281929.6161204648,659652,kcAAaXKAgh,2011-07-24
69162.48226655945,920255,VmsGsuOyeq,1996-05-10
347857.02364667435,49934,PrznNLSJkD,2008-06-13
161214.11488863608,845783,KkJwmGjYnP,1999-10-06
160462.94948185174,994178,HEhiyWsPPF,1998-01-19
131797.21402045546,118811,CpFRxtbeCr,2006-07-04
153932.03307960246,335128,nwzlvRwCYd,2002-07-20
351222.7180074809,744033,WIsHhZrgfU,1999-11-19
5506.242910914427,389094,lKQWtlvmos,1998-09-25
202346.25364056427,196115,grgovnQqwG,1999-01-29
335217.6031287462,674105,qBgbmkmWRX,2007-08-11
18044.130739222488,341366,FSFssYThie,2012-06-13
3615.8619652304264,91624,RTUZqxDBaX,1996-06-16
674598.3289442286,335229,nFUepEgbLL,2015-12-22
506156.1271494362,249066,dvhxvJzYek,2014-05-15
36963.20359641768,831086,VcjjzypRFx,1996-12-29
227747.66828637617,692444,HPAwJWluur,2010-10-16
72362.2180627727,684302,FVNXWxmogZ,1998-01-21
219372.15979394322,542249,qoTOaixXIl,2017-02-27
167098.70550495444,80596,jbeyQHkQAi,2018-06-30
169738.8319642588,422548,nuGTJmeCEV,2003-12-19
99637.02653397339,114485,BebhHOOimF,2005-01-08
50715.93031135433,703850,pHagwPUpWy,2019-05-03
8662.503096252147,150036,YebuegpOfU,2009-02-12
61101.241731495895,155591,HlJcpCoTwS,2003-09-13
9947.1623653068,694162,gXyvBLGXBL,2014-07-17
257813.29756742629,182445,TCuRwzWkZI,2009-02-11
38014.34701870125,489757,DLCVTbFqZe,2005-03-21
32334.490745460964,870403,mhvjqUgHmx,2019-03-18
56775.838905365184,923160,fukbqqsUQL,2014-11-22
64089.09979240359,501256,qPncuNuUUZ,1997-08-05
408594.2664997906,831120,DdyFDPhpje,2017-02-27
83295.17148334884,157558,gABCqkSQaX,2000-10-04
135796.56757721616,868607,sbUcFMEeeY,2000-10-03
82319.47416152348,683756,hlWbrdVGHy,1998-07-15
87615.81063308302,695483,YeBwPtxIhV,2013-12-16
44142.12613141882,702329,ksJihwvXrF,2004-05-18
650711.3903549287,662792,VIZTQWocHJ,1994-11-25
25591.595548418227,813658,xJfUqTgbir,2018-10-28
175360.97884137346,186550,KlaAsxAewF,2005-07-22
728594.6790762398,335872,IfdKfdsGAo,2008-01-20
658106.8977043402,35654,sLqdzFZlZY,2012-02-05
121101.46055120778,123254,SvCsAyjfFg,2002-01-27
418112.05059357383,555309,crkNrkMFNs,2011-03-09
107556.96861013383,235558,XBqceQmMpX,2012-10-19
31244.794544393662,254,hzdSJIirMz,2004-04-09
121424.86456033366,4470,EDmFLWpsNj,1995-02-20
125448.56851692179,583436,ItvMIHHJZN,2005-06-04
182708.52066182587,779983,ReoCWAyfnL,2000-09-21
122207.51740075249,183335,DzZgVfaOBF,2000-10-20
29344.875618634203,206258,wWGTCWIxmH,2000-12-12
73499.16215285889,97068,tDjUzhKGUI,2006-08-23
498345.1323711409,558756,ExbhuaZYUd,2020-09-20
64036.575847538414,98959,dFRnRgDSHA,1996-03-19
114411.6218855739,110391,mOEAzvwpAf,1998-11-01
553427.0539696967,914661,UWgieSstgE,2020-01-26
72064.20615492691,903059,AjwybApstt,2014-08-17
189240.49009977008,175688,AFtIJGvAxn,2009-03-10
34086.576107719244,27630,yHcKDpXWBa,2003-04-18
167901.4522303122,828449,DONzzDQxrZ,2004-07-31
126535.38417826609,538758,AmcigduwSG,1999-02-08
92224.32937146306,826409,rWCzizOapR,2014-11-07
54774.08744823325,549188,QjoIQABUmy,2019-02-24
323772.37633430876,342719,UCaVWaHoiq,1996-08-06
88682.91293038521,83920,VApXSBbHCp,1998-09-11
57054.87130393017,949012,WYUrGeNhZR,2018-05-05
24721.112145493902,429424,LpuouHClJD,1995-01-30
211182.03948449084,960342,hkQNlzLdyQ,2019-04-09
289901.69273436797,366958,bLVpIgRyyH,1998-03-16
47669.701821666036,509255,GnLmOczWhO,1999-11-10
